PhotoID,UserID,Latitude,Longitude,Accuracy
4684204212,22602880@N00,-122.401334,37.782166,16.0
5377288276,27793548@N06,-122.512321,37.780755,13.0
265139537,53687766@N00,-122.412157,37.809343,14.0
7506210980,70221037@N00,-122.458355,37.792083,16.0
4272303739,34415916@N07,-122.449407,37.744099,13.0
9177350502,95881098@N00,-122.393628,37.795427,16.0
234874425,10263754@N00,-122.408981,37.795135,10.0
4906821454,44124466908@N01,-122.430107,37.766578,15.0
4179492001,54284499@N00,-122.410946,37.761317,13.0
3946502546,44124466908@N01,-122.402157,37.788988,16.0
3121547816,20688578@N00,-122.455941,37.786559,16.0
4564610938,45013875@N00,-122.436167,37.762,16.0
8453794735,43498286@N00,-122.4119,37.788102,16.0
4618626157,53022145@N00,-122.44194,37.773598,13.0
317691209,33328641@N00,-122.455469,37.80110300000001,16.0
7066751805,28577026@N02,-122.405517,37.802458,16.0
7153846207,79551604@N00,-122.404198,37.770577,16.0
2947800504,7491409@N05,-122.457776,37.771868,14.0
1807559533,71453924@N00,-122.407305,37.790277,16.0
4042261720,44124466908@N01,-122.394218,37.794338,15.0
6247749454,33093170@N03,-122.400278,37.806388,16.0
4887123460,44124466908@N01,-122.419195,37.779432,15.0
3105910588,82173624@N00,-122.42361499999998,37.826637,16.0
307096702,46216844@N00,-122.446714,37.806787,16.0
8052380396,49503048699@N01,-122.3946,37.7865,16.0
3304414029,71401718@N00,-122.4449,37.75299,13.0
12282870655,81851947@N00,-122.411961,37.75281,16.0
8513481430,77001263@N00,-122.403834,37.787333,16.0
4529830482,55514420@N00,-122.430557,37.785338,16.0
5269843200,44124466908@N01,-122.412124,37.779305,15.0
4099536913,7972318@N06,-122.370166,37.8095,16.0
3354892919,62449696@N00,-122.431167,37.7655,16.0
5601959835,60323517@N02,-122.413187,37.808669,16.0
390804577,22257962@N00,-122.394293,37.794512,16.0
4859715714,94734319@N00,-122.457667,37.729,16.0
9704724111,77179348@N00,-122.452012,37.803872,16.0
7701641746,27703797@N06,-122.405334,37.781166,16.0
2438519654,24046097@N00,-122.402468,37.788624,15.0
4626087002,32781576@N04,-122.405359,37.794797,16.0
6789811194,51502166@N03,-122.471466,37.805715,13.0
8441360112,30275244@N04,-122.406116,37.788183,16.0
6730622121,44124466908@N01,-122.418501,37.752166,16.0
3276731635,10011817@N00,-122.435043,37.761581,15.0
10679996954,34581217@N00,-122.427848,37.790097,16.0
4142029755,59525567@N00,-122.46035,37.772885,14.0
3760640616,38522426@N00,-122.42766,37.829192,16.0
8142948806,56946277@N00,-122.407272,37.784656,16.0
3965458856,30690694@N05,-122.422971,37.826601,15.0
6233658752,44551309@N08,-122.42113700000002,37.825175,16.0
6297538963,49503048699@N01,-122.413902,37.77156,16.0
7342115730,17876426@N05,-122.479019,37.818056,12.0
7284870834,28006064@N02,-122.439875,37.806472,16.0
8284379607,37377809@N00,-122.411919,37.754924,16.0
2321738499,42445822@N00,-122.413612,37.771564,15.0
2372479741,23004521@N02,-122.44812,37.790251,7.0
10014473624,44124466908@N01,-122.402799,37.767042,16.0
5935034041,72841285@N00,-122.426061,37.8009,16.0
4852844163,22017657@N05,-122.422757,37.826734,13.0
3839253188,23654380@N00,-122.4328,37.7562,16.0
3347839960,44124466908@N01,-122.396972,37.787815,15.0
13874447454,15409406@N00,-122.394491,37.787817,16.0
10674335495,82847947@N00,-122.42015,37.76979,16.0
6101175736,44124466908@N01,-122.401756,37.788749,16.0
2102412589,44124416424@N01,-122.509108,37.73504000000001,16.0
5546035920,41715395@N00,-122.432756,37.777533,16.0
903201650,33917831@N00,-122.459868,37.772605,16.0
3207185156,33956054@N00,-122.408279,37.752868,15.0
8207819388,79551604@N00,-122.428001,37.7325,16.0
2819224315,19131586@N00,-122.468547,37.771121,13.0
