150,4684204212,b96c05d663f487e6cf3d08e79746d79,22602880@N00,raffik,08-06-2010,1276050666,Apple+iPhone+3GS,%40brianellin%27s+dinner,,,,-122.401334,37.782166,16.0,http://www.flickr.com/photos/22602880@N00/4684204212/,http://farm5.staticflickr.com/4066/4684204212_a21c2bc9c9.jpg,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,4066,5,a21c2bc9c9,3e0c1fbf06,jpg,0,,
305,5377288276,f28ea4705e8b5116ef826777f7f43db,27793548@N06,Morgan+Rochele,19-01-2011,1295674120,Canon+EOS+DIGITAL+REBEL+XTi,,,"bay+area,california,california+trip",,-122.512321,37.780755,13.0,http://www.flickr.com/photos/27793548@N06/5377288276/,http://farm6.staticflickr.com/5005/5377288276_4bbc892e99.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,5005,6,4bbc892e99,410ef06406,jpg,0,,
360,265139537,a8ab7a3ec2e1839b5fe8f2844621f8b,53687766@N00,casch52,08-10-2006,1160413308,Canon+EOS+20D,Blue+Angels+0304,All+6,"20d,adeltadiamondformation,all6blueangels,angels,blue,canon,delta,diamond,explorer%3D329,f18,familygetty,fighter,fleet+week,flyover,formation,hornet,jet,photo,photograph,san+francisco,warbird",,-122.41215700000001,37.809343,14.0,http://www.flickr.com/photos/53687766@N00/265139537/,http://farm1.staticflickr.com/96/265139537_b587ebd9ca.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,96,1,b587ebd9ca,b587ebd9ca,jpg,0,,
571,7506210980,5e6c143ba8c5a4416919c4c26476ea1c,70221037@N00,renedrivers,04-07-2012,1341469210,SONY+DSC-HX200V,San+Francisco+4th+of+July+Fireworks+2012,,"bay+area,fireworks,july+4th,renedrivers,san+francisco,san+francisco+4th+of+july",,-122.45835500000001,37.792083,16.0,http://www.flickr.com/photos/70221037@N00/7506210980/,http://farm9.staticflickr.com/8011/7506210980_624828b9df.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,8011,9,624828b9df,5c6ebf6793,jpg,0,,
725,4272303739,10b55e16cd573887f11db22ba35bfea,34415916@N07,ganeshaisis,12-01-2010,1263429831,Canon+EOS+DIGITAL+REBEL+XTi,Graff+on+Cargo+Container+%40+SOTA,By+Ganesha+Balunsat,"art,arts,balunsat,cheekaroo,francisco,ganesha,graff,graffiti,graffitti,isis,mark,rebel,san,school,sf,sota,tok,xti",,-122.44940700000001,37.744099,13.0,http://www.flickr.com/photos/34415916@N07/4272303739/,http://farm3.staticflickr.com/2761/4272303739_037b6623cd.jpg,Attribution License,http://creativecommons.org/licenses/by/2.0/,2761,3,037b6623cd,0096053670,jpg,0,,
1057,9177350502,288d7d68dfc3bb25f8924f322e898c3,95881098@N00,noneck,30-06-2013,1372615863,,%40chachasikes+%26+I+walking+with+CA%27s+Lt.+Gov.+No+big+deal...+%23sfpride,,"instagram+app,iphoneography,square,square+format","foursquare%3Avenue%3D43067280f964a52023271fe3,uploaded%3Aby%3Dinstagram",-122.393628,37.795427000000004,16.0,http://www.flickr.com/photos/95881098@N00/9177350502/,http://farm6.staticflickr.com/5322/9177350502_0074cbe81e.jpg,Attribution-NonCommercial License,http://creativecommons.org/licenses/by-nc/2.0/,5322,6,0074cbe81e,0fdc7bb2cc,jpg,0,,
1247,234874425,4c3b585e3f3e7c8251ca80e7ceaf6f,10263754@N00,DDanzig,03-09-2006,1157456839,Canon+PowerShot+S500,,,"arboretum,francisco,gate,golden,park,san",,-122.40898100000001,37.795134999999995,10.0,http://www.flickr.com/photos/10263754@N00/234874425/,http://farm1.staticflickr.com/91/234874425_67f583d01c.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,91,1,67f583d01c,67f583d01c,jpg,0,,
1845,4906821454,1f149a586982f6d8651b4ac24dce23f6,44124466908@N01,Steve+Rhodes,17-08-2010,1282195283,NIKON+CORPORATION+NIKON+D90,Youth+Rally+for+Fair+and+Safe+Housing+76,They+held+a+rally+at+Castro+%26+Market+and+then+Marched+to+the+Perramont+Hotel+near+15th+%26+Market%0A%0A%0A%3Ca+href%3D%22http%3A%2F%2Fyouthhousingadvocates.wordpress.com%2F2010%2F08%2F10%2Fourfirstaction%2F%22+rel%3D%22nofollow%22%3Eyouthhousingadvocates.wordpress.com%2F2010%2F08%2F10%2Fourfirstac...%3C%2Fa%3E%0A%0A%3Ca+href%3D%22http%3A%2F%2Fyouthhousingadvocates.wordpress.com%22+rel%3D%22nofollow%22%3Eyouthhousingadvocates.wordpress.com%3C%2Fa%3E%0A%0A%0A%0ASome+of+these+photos+are+at%0A%0A%3Ca+href%3D%22http%3A%2F%2Fwww.demotix.com%2Fnews%2F414302%2Fyouth-rally-fair-and-safe-housing-san-francisco%22+rel%3D%22nofollow%22%3Ewww.demotix.com%2Fnews%2F414302%2Fyouth-rally-fair-and-safe-hou...%3C%2Fa%3E,"2010,august,august+2010,castro,castro+district,d90,housing,housing+rights,nikon,nikon+d90,perramont+hotel,san+francisco,san+francisco+youth+housing+advocates,sfyha,yha,youth,youth+housing+advocates,youth+rally,youth+rally+for+fair+and+safe+housing",,-122.430107,37.766578,15.0,http://www.flickr.com/photos/44124466908@N01/4906821454/,http://farm5.staticflickr.com/4139/4906821454_36794419f0.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,4139,5,36794419f0,3e58bf892f,jpg,0,,
1881,4179492001,66eb526c74a18bc87d88ab25df13eeb1,54284499@N00,celine+nadeau,12-12-2009,1260663412,,nocturnal_butterflies005,nocturnal+butterflies%2C+by+concept+monger+laura+mc+guire.,"art,dance,inspiration,lauramcguire,nocturnalbutterfly,sanfrancisco,theaterartaud",,-122.410946,37.761317,13.0,http://www.flickr.com/photos/54284499@N00/4179492001/,http://farm3.staticflickr.com/2636/4179492001_f7cd624597.jpg,Attribution-ShareAlike License,http://creativecommons.org/licenses/by-sa/2.0/,2636,3,f7cd624597,2215189952,jpg,0,,
2221,3946502546,772421376d0e89cf31a26fd1d4abea,44124466908@N01,Steve+Rhodes,22-09-2009,1253668648,NIKON+CORPORATION+NIKON+D40X,At+Senator+Dianne+Feinstein%27s+SF+office+to+demand+the+public+option+in+the+health+care+reform,%3Ca+href%3D%22http%3A%2F%2Ffeinstein.senate.gov%2Fpublic%2F%22+rel%3D%22nofollow%22%3Efeinstein.senate.gov%2Fpublic%2F%3C%2Fa%3E%0A%0A%3Ca+href%3D%22http%3A%2F%2Ffeinstein.senate.gov%2Fpublic%2Findex.cfm%3FFuseAction%3DContactUs.Emailme%22+rel%3D%22nofollow%22%3Efeinstein.senate.gov%2Fpublic%2Findex.cfm%3FFuseAction%3DContactU...%3C%2Fa%3E%0A%0APeople+can+set+up+a+meeting+with+staff+at+her+SF+office+by+calling+John+Murray%0A%0AOne+Post+Street%2C+Suite+2450+%0ASan+Francisco%0APhone%3A+%28415%29+393-0707+%0A%0A%3Ca+href%3D%22http%3A%2F%2Fmoveon.org%22+rel%3D%22nofollow%22%3Emoveon.org%3C%2Fa%3E%0A%0A%3Ca+href%3D%22http%3A%2F%2Fpol.moveon.org%2Finsurance_execs%2F%3Frc%3Dfb.6%26reloaded%3D1%22+rel%3D%22nofollow%22%3Epol.moveon.org%2Finsurance_execs%2F%3Frc%3Dfb.6%26reloaded%3D1%3C%2Fa%3E%0A%0A%3Ca+href%3D%22http%3A%2F%2Fhealthcare.barackobama.com%22+rel%3D%22nofollow%22%3Ehealthcare.barackobama.com%3C%2Fa%3E%0A%0A%3Ca+href%3D%22http%3A%2F%2Fhealthcareforamericanow.org%22+rel%3D%22nofollow%22%3Ehealthcareforamericanow.org%3C%2Fa%3E%0A%0A%3Ca+href%3D%22http%3A%2F%2Fwww.healthcareforallnow.org%22+rel%3D%22nofollow%22%3Ewww.healthcareforallnow.org%3C%2Fa%3E%0A%0A%0A%3Ca+href%3D%22http%3A%2F%2Fwww.billionairesforwealthcare.com%22+rel%3D%22nofollow%22%3Ewww.billionairesforwealthcare.com%3C%2Fa%3E%0A%0A%3Ca+href%3D%22http%3A%2F%2Fwww.peninsularaginggrannies.org%22+rel%3D%22nofollow%22%3Ewww.peninsularaginggrannies.org%3C%2Fa%3E%0A%0A%0ADocumentary+on+the+Raging+Grannies%0A%0A%3Ca+href%3D%22http%3A%2F%2Fwww.peninsularaginggrannies.org%2FRaging_Grannies%2FThe_Grannies_Movie.html%22+rel%3D%22nofollow%22%3Ewww.peninsularaginggrannies.org%2FRaging_Grannies%2FThe_Grann...%3C%2Fa%3E%0A%0AThe+Waiting+Room%2C+a+documentary+on+Highland+Hospital+in+Oakland+which+is+posting+short+videos+during+production%0A%0A%3Ca+href%3D%22http%3A%2F%2Fwhatruwaitingfor.com%22+rel%3D%22nofollow%22%3Ewhatruwaitingfor.com%3C%2Fa%3E,"2009,big+insurance,big+insurance+sick+of+it,ca,california,dianne+feinstein,downtown,feinstein,financial+district,healthcare,healthcarereform,insurance,march,moveon,protest,publicoption,san+francisco,senate,senator,senator+feinstein,sept,september,september+2009,september09,sf,sick+of+it",,-122.402157,37.788988,16.0,http://www.flickr.com/photos/44124466908@N01/3946502546/,http://farm3.staticflickr.com/2580/3946502546_a3e439fbc3.jpg,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,2580,3,a3e439fbc3,0d37f67256,jpg,0,,
