68,7196543710,f088b7626df7abfd7e414ddd6c4de71e,59809888@N06,Community+History+SA,05-2012,1337008502,Canon+EOS+550D,Salvation+Army+SA+Heritage+Centre%2C+Archive+%26+Museum,,"adelaide,church+history,nailsworth,salvation+army,south+australia",,138.604736,-34.885742,15.0,http://www.flickr.com/photos/59809888@N06/7196543710/,http://farm6.staticflickr.com/5075/7196543710_eea9ce01b3.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,5075,6,eea9ce01b3,d45a0875ba,jpg,0
912,5293335092,d506414e42869dad647368c91e5364f,89165847@N00,mikecogh,12-2010,1293371850,NIKON+COOLPIX+S3000,Feeling+Safe,At+first+glance+this+may+look+sad+or+cruel%2C+but+if+you+look+at+the+other+pix+you%27ll+see+that+this+cat+run+is+quite+varied+and+extensive.+And+besides%2C+if+it%27s+a+choice+between+this+and+dying+by+snake+bite%2C+this+is+a+far+better+option.,"cage,cat+run,marino,pets,safety",,138.516912,-35.038394,13.0,http://www.flickr.com/photos/89165847@N00/5293335092/,http://farm6.staticflickr.com/5241/5293335092_f1208d93f2.jpg,Attribution-ShareAlike License,http://creativecommons.org/licenses/by-sa/2.0/,5241,6,f1208d93f2,93a33f53e0,jpg,0
1266,5219647169,fffbee45c414834959cfab6d1faa034,56463632@N05,mimmagang,07-2002,1291094834,SONY+CYBERSHOT,Harvey+Hotel,The+1st+hotel+was++built+in+1898+and+it+has+been+rebuilt+after+fire+damage.,"nat,nat1,thendate1930s,wa_south-west",,115.87778,-33.091038,12.0,http://www.flickr.com/photos/56463632@N05/5219647169/,http://farm6.staticflickr.com/5046/5219647169_2316eb0336.jpg,Attribution-NonCommercial License,http://creativecommons.org/licenses/by-nc/2.0/,5046,6,2316eb0336,cfc4461701,jpg,0
2011,5032324949,7d71544f8252486bd969995d3fc51a,20055849@N00,Mal+Booth,09-2010,1285669204,Canon+EOS+7D,Kurilpa+Bridge,,"2010,brisbane,kurilpabridge,queensland",,153.018651,-27.471053,16.0,http://www.flickr.com/photos/20055849@N00/5032324949/,http://farm5.staticflickr.com/4127/5032324949_929e847951.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,4127,5,929e847951,0d37000db4,jpg,0
2150,77131556,35fce27aa7d3e7d848be13026c27e5c,14472354@N00,Peter+Konnecke,12-2005,1135507928,SONY+DSC-W1,77131556,Mum+having+a+dig%0A%0A%3Ca+href%3D%22http%3A%2F%2Fwww.konnecke.com%22+rel%3D%22nofollow%22%3Ewww.konnecke.com%3C%2Fa%3E%0ASee+where+the+photo+was+taken+at+%3Ca+href%3D%22http%3A%2F%2Fmaps.yuan.cc%2F%22+rel%3D%22nofollow%22%3Emaps.yuan.cc%2F%3C%2Fa%3E.%0A%3Ca+href%3D%22http%3A%2F%2Fwww.flickr.com%2Fgroups%2Fsydney%2F%22%3EAustralian+Postcode+and+Geotagging+Group%3C%2Fa%3E,"auspctagged,australia,balmoral+beach,christmas,christmas2005,forpanoramio,nsw,postcode%3A2088",geo%3Atool%3Dgmif,151.251075,-33.82318,16.0,http://www.flickr.com/photos/14472354@N00/77131556/,http://farm1.staticflickr.com/38/77131556_10d679c856.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,38,1,10d679c856,10d679c856,jpg,0
2502,1668116260,11f17f30303c14d422d3da8137e24b71,13055655@N03,chloebk,10-2007,1192953718,SONY+DSC-P200,bridge+from+back+of+ferry,,"bridge,harbour,water",,151.217429,-33.854504,14.0,http://www.flickr.com/photos/13055655@N03/1668116260/,http://farm3.staticflickr.com/2372/1668116260_95c1d2bf14.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,2372,3,95c1d2bf14,9f2f94e49a,jpg,0
3068,3921764390,233ecfd733aa9567855bf6e66d464,30265340@N00,yewenyi,09-2009,1252979029,Canon+EOS+30D,CQ09+Day1+Toowoomba+to+Goombungee,%3Ca+href%3D%22http%3A%2F%2Fyewenyi.net%2Fwpblog%2F%3Fp%3D2276%22+rel%3D%22nofollow%22%3ECQ09+Ride+%232+Day+1+Toowoomba+to+Goombungee%3C%2Fa%3E.,"110+km+w++of+brisbane,aus,australia,bicycle,cq09,cycle+queensland,day,day+1,photo+specs,qld,queensland,road,time,toowoomba+to+gumbungee",,151.906333,-27.463834,16.0,http://www.flickr.com/photos/30265340@N00/3921764390/,http://farm4.staticflickr.com/3418/3921764390_f03d7481d7.jpg,Attribution-NonCommercial License,http://creativecommons.org/licenses/by-nc/2.0/,3418,4,f03d7481d7,4f19e38c59,jpg,0
3822,2378869389,c7945f5d3ba4f3cbcae8399d9495a163,25015144@N07,Xi-Liu,04-2004,1207030766,SONY+DSC-P8,DSC00558,,,,152.948913,-27.225325,8.0,http://www.flickr.com/photos/25015144@N07/2378869389/,http://farm3.staticflickr.com/2235/2378869389_bbe77f4838.jpg,Attribution-NonCommercial License,http://creativecommons.org/licenses/by-nc/2.0/,2235,3,bbe77f4838,ea875c1912,jpg,0
4590,12285394434,1c9526db4ec54d5dcbde7d67b5f9dd59,47877175@N08,Rodney+Campbell,01-2014,1391422991,NIKON+CORPORATION+NIKON+D600,Caves+End,NIKON+D600+%2B+16.0-35.0+mm+f%2F4.0+%40+18+mm%2C+261+sec+at+f%2F11%2C+ISO+400%0A%3Ca+href%3D%22http%3A%2F%2Fwww.rc.au.net%2Fblog%2F2014%2F01%2F26%2Ffire-cathedral%2F%22+rel%3D%22nofollow%22%3Ewww.rc.au.net%2Fblog%2F2014%2F01%2F26%2Ffire-cathedral%2F%3C%2Fa%3E%0A%C2%A9+Rodney+Campbell,"australia,clouds,kiama,light+painting,long+exposure,minnamurra,new+south+wales,ocean,sky,sunrise,torch,water",,150.849413,-34.621039,16.0,http://www.flickr.com/photos/47877175@N08/12285394434/,http://farm4.staticflickr.com/3731/12285394434_f4c16ea96d.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,3731,4,f4c16ea96d,d95b97dfb6,jpg,0
4916,6177160668,8a9be868f51632e6e07f61d09397d3e,15805303@N00,Zero+point+Zero+Photography,09-2011,1316839926,Canon+EOS+50D,RTC+Weekend+Camp+621,,,,153.131668,-26.771298,15.0,http://www.flickr.com/photos/15805303@N00/6177160668/,http://farm7.staticflickr.com/6161/6177160668_0e694603bb.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,6161,7,0e694603bb,17c891db16,jpg,0
5368,2123182565,dac17711cb4d451bcca21093c69fd25,20145743@N00,Royston+Rascals,12-2007,1198111626,,umpireOTY,Paul+was+awarded+Senior+Umpire+of+the+Year+2007+for+the+North+East+Metropolitan+Junior+Football+Association.+Here+is+proudly+showing+off+his+trophy+to+his+grandmother+Margaret.,"trophy,umpire",,138.629651,-34.896526,14.0,http://www.flickr.com/photos/20145743@N00/2123182565/,http://farm3.staticflickr.com/2174/2123182565_26d44c85a4.jpg,Attribution-NonCommercial License,http://creativecommons.org/licenses/by-nc/2.0/,2174,3,26d44c85a4,acc3220a31,jpg,0
